tender_country,tender_year,tender_mainCpv,tender_estimatedPrice_EUR,lot_bidsCount,tender_procedureType,tender_supplyType,buyer_buyerType,buyer_country,tender_indicator_score_INTEGRITY,tender_indicator_score_ADMINISTRATIVE,tender_indicator_score_TRANSPARENCY
BG,2020,18000000,5787950.0,2.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,91.6667,27.381,75.0
RO,2020,33600000,6596033.0,16.0,OPEN,SUPPLIES,OTHER,RO,100.0,33.0033,50.0
RO,2018,34115200,10379168.0,3.0,APPROACHING_BIDDERS,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,85.1852,37.7778,39.2857
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,REGIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
RO,2023,50420000,5478820.0,1.0,APPROACHING_BIDDERS,SERVICES,OTHER,ROMANIA,75.8273,37.3333,42.471
CZ,2020,45233100,22439233.0,7.0,OPEN,WORKS,REGIONAL_AUTHORITY,CZ,90.0,40.625,77.1367
CZ,2019,77200000,11667138.0,1.0,OPEN,SERVICES,NATIONAL_AUTHORITY,CZ,85.0199,46.9697,67.0194
GR,2015,33192000,823821.14,11.0,OPEN,SUPPLIES,PUBLIC_BODY,GR,100.0,27.6471,72.1429
ES,2022,50324100,3992050.0,10.0,OPEN,SERVICES,PUBLIC_BODY,ES,100.0,48.3333,43.75
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,REGIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
CZ,2015,33696500,1039855.0,1.0,OPEN,SUPPLIES,REGIONAL_AGENCY,CZ,83.3333,55.0,76.2963
IT,2017,33651660,10000000000.0,2555.0,RESTRICTED,SUPPLIES,REGIONAL_AGENCY,IT,70.0,52.8302,50.0
RO,2020,33652100,1888159.0,4.0,OPEN,SUPPLIES,OTHER,RO,100.0,22.449,50.0
CZ,2016,34100000,324883.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,CZ,61.1111,31.1111,75.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,REGIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
RO,2020,38437000,176552.0,22.0,OPEN,SUPPLIES,PUBLIC_BODY,ROMANIA,94.9048,37.3333,41.4286
BG,2021,42500000,115037.0,4.0,OPEN,SUPPLIES,PUBLIC_BODY,BG,100.0,45.8334,45.8333
BG,2018,63500000,17379570.0,4.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,83.3333,48.6111,77.1066
RO,2020,33140000,10768661.0,2.0,OPEN,SUPPLIES,REGIONAL_AGENCY,ROMANIA,93.8593,58.5185,42.7035
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
SI,2015,15800000,180000.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,69.3069,37.7778,77.0919
SI,2015,33141800,171000.0,1.0,OPEN,SUPPLIES,OTHER,SI,66.6667,36.9811,76.5676
IT,2017,33194220,25989500.0,3.0,OPEN,SUPPLIES,OTHER,IT,82.7408,43.5898,87.9699
SI,2015,15800000,180000.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,69.3069,37.7778,77.0919
